id,title,price,price_per_sqm,rooms,area_total,area_living,area_kitchen,floor,floors_total,district,address,metro,year_built,house_type,deal_type,property_type,description,url,source,label,collected_at
cia_56d78bc6,2-шка напротив метро Пионерская,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/180842748/?context=3.yxPJj350RWY.4RO0ARvLoBBYGemxbTQh26Ym1Hhey7mCtkbtaT1DC4Pmgfi2AGaWqAD_k-N67CkhvbzCQfwtXHfR_w&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.786957
cia_a7726e85,"Апартаменты-студия, 14 м²",45000.0,,0.0,14.0,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/324730329/?context=3.rzXW4oRqMK4.YwVCZlZbVsFN2B8TxyopWkH5JPC6wq-Y8JNokKcW7W6ht161UNs5AMjDEWlgsx5XCduwoaE9j54nJA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.788391
cia_54fb3e18,"Студия, 16 м², 4/5 этаж",25000.0,,0.0,16.0,,,4.0,5.0,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/277909171/?context=3.xa-UY1vvUMo.Vjb5jd-pgxWmDh5r5BAM5ZODJTQme1EpJYt4ARj5Qg1ise-evUr41bpHI03YPqaKGOcFkkRhig5Fkg&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.789240
cia_735a1046,Уютные апартаменты у метро,35000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/309657949/?context=3.tzf1CCcv8Zo.ScVD87GUUYtFYNRfV1YI6F2Gpzw2IPwFRemGtVVfdVBYvA-0Rbkau03W_oBVkMEgIGKCK2-ZQLSU6Q&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.790789
cia_411e21e7,Двушка в минуте от Невского,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/156097659/?context=3.ZXPV4nX694E.Qc69YkGeb7ZriFx0GfmcUOqXmVvgyYzNTn2YhhsIihNFEWDHEyjklNXCdPibGwGvN17WuJmKEHOsjQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.792958
cia_4531d0f8,"1-комн. квартира, 35 м², 4/6 этаж",40000.0,,1.0,35.0,,,4.0,6.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327471832/?context=3.FmLS1oGmmyI.706ZSeiRaOlT3jOQeZr_x4UUwzVO6Q01tcx6gAKBCROtjLaRWnrrgc32FbsI01GYaHjA7HJ-DpLTpQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.794430
cia_558a95ee,Сдам евродвушку,50000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/319785780/?context=3.-u9q0bnnyzk.j3nt9a0FDZhDg41B2T3OgtDFMcRR3NMTauCYvzFp47ZCr9KRh2Uf824Z0SJNGVfE6A3Iv5X753Do9A&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.795924
cia_8d4c91e5,"2-комн. квартира, 50 м², 7/9 этаж",110000.0,,2.0,50.0,,,7.0,9.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327028302/?context=3.KZrlU4mqdzo.-R0oqhrNx0KHNvVa-anrsWBE_VGCpcJ6Rjzf2LJCnlFp7hq8FognIszzV813ULkPtgL26oZbwoExvQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.797331
cia_cb979281,Сдается впервые! Мебель и Техника,34000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/321128144/?context=3.9kVbtMcYVdk.QRCwHVBOfoAsl91jVtRCk3KxNAXP-IGN780VzkwwQuWCFCUOmodIc5ZBxoqmZeS5ajvYQh61XmWqGg&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.798319
cia_8bdae172,Двухуровневая квартира у Эрмитажа,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/312661164/?context=3.bNHko5piNP4.xwiaVRmzAVI-Sgj-xtk85dT31lxa4FMWlgFFrmdaCJdbV_Xr8POijFEZQFVqQ0ze0ZWpcdguUfJwLA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.800408
